id,name,gcluster,bcluster
72,W 52 St & 11 Ave,22,20
79,Franklin St & W Broadway,9,10
82,St James Pl & Pearl St,10,9
83,Atlantic Ave & Fort Greene Pl,1,1
116,W 17 St & 8 Ave,15,18
119,Park Ave & St Edwards St,6,1
120,Lexington Ave & Classon Ave,3,0
127,Barrow St & Hudson St,14,19
128,MacDougal St & Prince St,15,6
137,E 56 St & Madison Ave,24,16
143,Clinton St & Joralemon St,0,7
144,Nassau St & Navy St,6,8
146,Hudson St & Reade St,9,10
147,Greenwich St & Warren St,9,10
150,E 2 St & Avenue C,11,4
151,Cleveland Pl & Spring St,10,3
152,Warren St & Church St,9,10
153,E 40 St & 5 Ave,20,13
157,Henry St & Atlantic Ave,0,7
160,E 37 St & Lexington Ave,20,13
161,LaGuardia Pl & W 3 St,15,6
164,E 47 St & 2 Ave,21,16
167,E 39 St & 3 Ave,21,13
168,W 18 St & 6 Ave,15,18
173,Broadway & W 49 St,23,12
174,E 25 St & 1 Ave,16,15
195,Liberty St & Broadway,4,11
212,W 16 St & The High Line,18,19
216,Columbia Heights & Cranberry St,5,7
217,Old Fulton St,5,7
218,Gallatin Pl & Livingston St,1,8
223,W 13 St & 7 Ave,15,6
224,Spruce St & Nassau St,9,9
225,W 14 St & The High Line,18,19
228,E 48 St & 3 Ave,21,16
229,Great Jones St,15,3
232,Cadman Plaza E & Tillary St,5,7
233,Joralemon St & Adams St,1,7
236,St Marks Pl & 2 Ave,16,4
237,E 11 St & 2 Ave,16,2
238,Bank St & Washington St,14,19
239,Willoughby St & Fleet St,1,1
241,DeKalb Ave & S Portland Ave,2,1
242,Flushing Ave & Carlton Ave,7,17
243,Fulton St & Rockwell Pl,1,1
244,Willoughby Ave & Hall St,2,0
245,Myrtle Ave & St Edwards St,1,1
247,Perry St & Bleecker St,14,19
248,Laight St & Hudson St,9,10
249,Harrison St & Hudson St,9,10
250,Lafayette St & Jersey St,10,3
251,Mott St & Prince St,10,3
252,MacDougal St & Washington Sq,15,6
257,Lispenard St & Broadway,10,10
258,DeKalb Ave & Vanderbilt Ave,2,0
259,South St & Whitehall St,4,11
260,Broad St & Bridge St,4,11
261,Johnson St & Gold St,1,8
262,Washington Park,2,1
263,Elizabeth St & Hester St,10,22
264,Maiden Ln & Pearl St,4,11
265,Stanton St & Chrystie St,10,22
266,Avenue D & E 8 St,12,4
267,Broadway & W 36 St,20,14
268,Howard St & Centre St,10,3
270,Adelphi St & Myrtle Ave,2,1
271,Ashland Pl & Hanson Pl,1,1
274,Lafayette Ave & Fort Greene Pl,1,1
275,Washington Ave & Greene Ave,2,0
276,Duane St & Greenwich St,9,10
278,Concord St & Bridge St,6,8
279,Peck Slip & Front Street,5,9
280,E 10 St & 5 Ave,15,6
281,Grand Army Plaza & Central Park S,24,16
282,Kent Ave & S 11 St,7,17
284,Greenwich Ave & 8 Ave,15,19
285,Broadway & E 14 St,15,2
289,Monroe St & Classon Ave,3,0
290,2 Ave & E 58 St,24,16
291,Madison St & Montgomery St,11,21
293,Lafayette St & E 8 St,15,2
294,Washington Square E,15,6
295,Pike St & E Broadway,10,22
296,Division St & Bowery,10,22
297,E 15 St & 3 Ave,16,2
298,3 Ave & Schermerhorn St,1,8
300,Shevchenko Pl & E 7 St,15,3
301,E 2 St & Avenue B,11,4
302,Avenue D & E 3 St,11,21
303,Mercer St & Spring St,10,3
304,Broadway & Battery Pl,4,11
305,E 58 St & 3 Ave,24,16
306,Cliff St & Fulton St,4,9
307,Canal St & Rutgers St,10,22
308,St James Pl & Oliver St,10,9
309,Murray St & West St,9,10
310,State St & Smith St,1,1
311,Norfolk St & Broome St,11,22
312,Allen St & E Houston St,11,3
313,Washington Ave & Park Ave,7,17
314,Cadman Plaza West & Montague St,0,7
315,South St & Gouverneur Ln,4,11
316,Fulton St & William St,4,9
317,E 6 St & Avenue B,11,4
